step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
991,0.00199,1.0,,
992,0.01011,0.99015,,
993,0.13043,0.96059,,
994,0.00169,1.0,,
995,0.00894,0.99507,,
996,0.01492,0.99408,,
997,0.02318,0.99015,,
998,0.05155,0.98273,,
999,0.00697,0.99237,,
1000,0.31787,0.95238,,
1001,0.00369,1.0,-0.0,0.0
1002,0.23687,0.92174,,
1003,0.00155,1.0,,
1004,0.52332,0.88235,,
1005,0.02073,0.99096,,
1006,0.06181,0.97971,,
1007,3e-05,1.0,,
1008,0.0,1.0,,
1009,0.21638,0.91919,,
1010,0.0,0.0,,
1011,0.00515,1.0,,
1012,0.0061,0.99707,,
1013,0.05159,0.9824,,
1014,0.0,1.0,,
1015,0.00192,1.0,,
1016,0.1746,0.9434,,
1017,0.00411,1.0,,
1018,0.09806,0.95238,,
1019,0.00099,1.0,,
